robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
0.22,0.113,0.29,0.7,0.01,186.31,8.0,70.0,70.0,0,0,0.0,1,40,2.0,0,160.0,0.0283,2450.0,2.3219,32,0.2347,0.5,0.0135,0.0,0.84,0.64,6,1,0,0,0
2.0,0.267,0.5,0.5,0.0,61.25,13.0,70.0,50.0,1,70,4.0,0,0,0.0,0,120.0,0.0206,1750.0,2.3219,5,0.254,0.6,0.0087,0.0,0.77,0.41,6,0,0,1,0
2.0,0.267,0.23,0.67,0.1,162.0,17.0,50.0,90.0,0,0,0.0,1,30,2.0,0,234.4186,0.0266,2250.0,2.3219,29,0.2193,0.6,0.0195,0.0,0.64,0.42,6,0,0,1,0
0.22,0.113,0.21,0.79,0.0,502.4,20.0,90.0,70.0,0,0,0.0,1,40,6.0,0,280.0,0.0203,3150.0,2.3219,6,0.6243,0.3,0.0193,0.0,0.69,0.45,9,1,0,0,0
2.0,0.267,0.5,0.5,0.0,21.99,11.0,50.0,70.0,0,0,0.0,1,40,6.0,0,276.9231,0.0096,1750.0,2.3219,8,0.732,0.5,0.0587,0.0,0.56,0.52,4,0,0,1,0
2.0,0.267,0.47,0.53,0.0,137.87,9.0,50.0,90.0,0,0,0.0,1,40,2.0,0,102.8571,0.0262,2250.0,2.3219,37,0.2498,0.6,0.0196,0.0,0.71,0.72,6,0,0,1,0
0.22,0.113,0.27,0.73,0.0,203.12,7.0,90.0,50.0,1,30,4.0,0,0,0.0,0,327.2727,0.0213,2250.0,2.3219,5,0.4327,0.8,0.0093,0.0,0.6,0.51,9,1,0,0,0
0.22,0.113,0.57,0.43,0.0,99.34,12.0,70.0,90.0,1,45,5.0,0,0,0.0,0,240.0,0.0324,3150.0,2.3219,4,0.2619,0.5,0.0072,0.0,0.66,0.5,9,1,0,0,0
2.0,0.267,0.48,0.52,0.0,65.73,10.0,70.0,70.0,1,70,5.0,0,0,0.0,0,360.0,0.0272,2450.0,2.3219,1,0.2484,0.0,0.0,1.0,0.53,0.48,9,0,0,1,0
0.22,0.113,0.0,1.0,0.0,423.84,29.0,50.0,70.0,0,0,0.0,1,40,2.0,0,65.4545,0.0202,1750.0,2.3219,22,0.3149,0.5,0.0168,0.0,0.72,0.43,4,1,0,0,0
2.0,0.267,0.53,0.47,0.0,46.98,9.0,70.0,50.0,1,70,3.0,0,0,0.0,0,360.0,0.0195,1750.0,2.3219,5,0.3154,0.6,0.0077,0.0,0.51,0.69,6,1,0,0,0
2.0,0.267,0.73,0.27,0.0,36.11,4.0,50.0,50.0,1,70,3.0,0,0,0.0,0,120.0,0.015,1250.0,2.3219,6,0.2964,0.3,0.0078,0.0,0.64,0.62,6,0,0,1,0
0.22,0.113,0.21,0.79,0.0,474.32,15.0,70.0,70.0,0,0,0.0,1,40,6.0,0,140.0,0.0133,2450.0,2.3219,17,0.7129,0.5,0.0497,0.0001,0.69,0.65,9,0,0,1,0
2.0,0.267,0.23,0.5,0.27,261.65,23.0,50.0,90.0,1,70,4.0,0,0,0.0,0,102.8571,0.0248,2250.0,2.3219,8,0.2691,0.8,0.016,0.0,0.59,0.61,6,0,0,1,0
2.0,0.267,0.55,0.45,0.0,100.9,5.0,70.0,70.0,0,0,0.0,1,40,6.0,0,308.5714,0.0128,2450.0,2.3219,8,0.7273,0.6,0.0833,0.0003,0.77,0.7,6,1,0,0,0
0.22,0.113,0.23,0.77,0.0,149.35,19.0,70.0,70.0,0,0,0.0,1,30,4.0,0,297.931,0.0214,2450.0,2.3219,11,0.4873,0.5,0.0157,0.0,0.58,0.65,9,1,0,0,0
0.22,0.113,0.34,0.66,0.0,116.56,12.0,90.0,50.0,1,45,4.0,0,0,0.0,0,180.0,0.0231,2250.0,2.3219,10,0.3593,0.6,0.0093,0.0,0.72,0.51,9,0,0,1,0
0.22,0.113,0.34,0.66,0.0,271.92,12.0,90.0,70.0,1,30,4.0,0,0,0.0,0,270.0,0.0254,3150.0,2.3219,4,0.4868,0.5,0.0089,0.0,0.63,0.54,6,1,0,0,0
2.0,0.267,0.57,0.43,0.0,52.45,10.0,50.0,50.0,1,45,3.0,0,0,0.0,0,120.0,0.0143,1250.0,2.3219,4,0.3196,0.5,0.006,0.0,0.66,0.32,4,0,0,1,0
0.22,0.113,0.77,0.23,0.0,46.53,2.0,70.0,50.0,1,30,5.0,0,0,0.0,0,180.0,0.0183,1750.0,2.3219,2,0.3526,0.0,0.0,1.0,0.61,0.6,6,1,0,0,0
2.0,0.267,0.3,0.7,0.0,59.78,20.0,70.0,70.0,0,0,0.0,1,40,4.0,0,225.0,0.0211,2450.0,2.3219,7,0.4859,0.6,0.0121,0.0,0.64,0.6,6,1,0,0,0
2.0,0.267,0.6,0.4,0.0,50.41,8.0,50.0,90.0,1,70,3.0,0,0,0.0,0,216.0,0.0223,2250.0,2.3219,9,0.378,0.4,0.0144,0.0,0.68,0.5,9,1,0,0,0
2.0,0.267,0.13,0.73,0.13,92.91,21.0,90.0,70.0,0,0,0.0,1,40,6.0,0,229.0909,0.0196,3150.0,2.3219,10,0.6454,0.5,0.0284,0.0001,0.6,0.58,9,1,0,0,0
0.22,0.113,0.31,0.66,0.03,46.32,10.0,50.0,70.0,0,0,0.0,1,40,4.0,0,160.0,0.0133,1750.0,2.3219,14,0.6103,0.6,0.0288,0.0,0.59,0.56,6,0,0,1,0
2.0,0.267,0.2,0.7,0.1,320.06,21.0,90.0,90.0,0,0,0.0,1,30,6.0,0,308.5714,0.0309,4050.0,2.3219,4,0.4922,0.5,0.0066,0.0,0.63,0.42,12,0,0,1,0
0.22,0.113,0.23,0.77,0.0,394.65,13.0,70.0,70.0,0,0,0.0,1,30,4.0,0,268.0851,0.0223,2450.0,2.3219,15,0.4494,0.5,0.0167,0.0,0.67,0.49,9,0,0,1,0
0.22,0.113,0.23,0.77,0.0,394.06,14.0,90.0,50.0,0,0,0.0,1,40,6.0,0,332.3077,0.0135,2250.0,2.3219,8,0.6798,0.5,0.0149,0.0,0.76,0.51,6,1,0,0,0
2.0,0.267,0.23,0.77,0.0,171.31,22.0,70.0,90.0,1,70,3.0,0,0,0.0,0,144.0,0.0283,3150.0,2.3219,8,0.4348,0.6,0.0138,0.0,0.64,0.8,9,1,0,0,0
0.22,0.113,0.4,0.6,0.0,71.18,11.0,70.0,70.0,1,30,4.0,0,0,0.0,0,90.0,0.0223,2450.0,2.3219,4,0.4145,0.5,0.0062,0.0,0.71,0.55,9,0,0,1,0
0.22,0.113,0.63,0.37,0.0,47.31,2.0,50.0,90.0,1,45,5.0,0,0,0.0,0,90.0,0.0239,2250.0,2.3219,4,0.2704,1.0,0.0173,0.0,0.79,0.62,6,0,0,1,0
2.0,0.267,0.67,0.33,0.0,5.72,0.0,50.0,50.0,0,0,0.0,1,30,6.0,0,324.0,0.0059,1250.0,2.3219,3,0.77,1.0,0.0147,0.0,0.61,0.43,6,1,0,0,0
2.0,0.267,0.83,0.17,0.0,58.57,5.0,50.0,50.0,1,70,5.0,0,0,0.0,0,180.0,0.0158,1250.0,2.3219,2,0.2232,0.0,0.0,1.0,0.72,0.53,4,1,0,0,0
2.0,0.267,0.23,0.77,0.0,95.19,16.0,70.0,70.0,0,0,0.0,1,30,6.0,0,120.0,0.0173,2450.0,2.3219,3,0.591,1.0,0.0018,0.0,0.65,0.67,9,0,0,1,0
0.22,0.113,0.83,0.17,0.0,58.85,2.0,90.0,50.0,1,70,5.0,0,0,0.0,0,180.0,0.0259,2250.0,2.3219,2,0.1918,0.0,0.0,1.0,0.6,0.51,6,0,0,1,0
2.0,0.267,0.33,0.6,0.07,157.59,13.0,90.0,50.0,1,45,4.0,0,0,0.0,0,288.0,0.0215,2250.0,2.3219,4,0.4067,0.8,0.01,0.0,0.64,0.42,9,0,0,1,0
2.0,0.267,0.2,0.63,0.17,190.88,21.0,70.0,70.0,1,70,3.0,0,0,0.0,0,288.0,0.0243,2450.0,2.3219,12,0.3657,0.4,0.0145,0.0,0.69,0.47,6,1,0,0,0
2.0,0.267,0.33,0.67,0.0,63.81,14.0,70.0,70.0,0,0,0.0,1,30,2.0,0,50.2326,0.0287,2450.0,2.3219,39,0.199,0.5,0.0146,0.0,0.62,0.62,9,1,0,0,0
0.22,0.113,0.53,0.4,0.07,93.11,11.0,70.0,90.0,0,0,0.0,1,40,2.0,0,56.0,0.0357,3150.0,2.3219,43,0.1979,0.5,0.0166,0.0,0.68,0.47,6,0,0,1,0
0.22,0.113,0.57,0.43,0.0,49.6,2.0,90.0,70.0,1,70,5.0,0,0,0.0,0,360.0,0.0318,3150.0,2.3219,2,0.2825,1.0,0.0071,0.0,0.63,0.64,9,0,0,1,0
2.0,0.267,0.1,0.5,0.4,254.75,26.0,70.0,90.0,0,0,0.0,1,40,2.0,0,144.0,0.0357,3150.0,2.3219,33,0.1951,0.5,0.0175,0.0,0.66,0.33,6,1,0,0,0
0.22,0.113,0.24,0.76,0.0,104.66,9.0,70.0,70.0,1,30,3.0,0,0,0.0,0,288.0,0.0187,2450.0,2.3219,3,0.5453,0.7,0.0059,0.0,0.76,0.6,9,1,0,0,0
2.0,0.267,0.5,0.5,0.0,59.24,9.0,70.0,50.0,1,70,4.0,0,0,0.0,0,180.0,0.0204,1750.0,2.3219,4,0.2406,1.0,0.008,0.0,0.56,0.5,6,0,0,1,0
