robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.8,0.2,0,58.24,998000000000,70,70,1,45,4,0,0,0,0,360,0.024,2450,2.3219,6,0.3776,0.7,0.0291,0,0.58,0.54,9,0,1,0,0
0.22,0.113,0.8,0.2,0,43.62,1190000000000,70,70,1,45,5,0,0,0,0,120,0.0254,2450,2.3219,6,0.291,0.7,0.0055,0,0.5,0.32,6,0,1,0,0
1.1,0.625,0.34,0.66,0,45.4,1615310000000,70,70,1,30,3,0,0,0,0,360,0.0183,2450,2.3219,3,0.5545,0.3,0.012,0,0.59,0.5,9,0,1,0,0
0.22,0.113,0.2,0.4,0.4,11.2,5960000000000,90,90,1,15,4,0,0,0,0,360,0.0208,4050,2.3219,1,0.6926,0,0,1,0.59,0.59,4,0,1,0,0
0.22,0.113,0.63,0.37,0,83.23,1490000000000,90,90,1,30,4,0,0,0,0,180,0.0267,4050,2.3219,5,0.5707,0.8,0.0078,0,0.62,0.53,8,0,1,0,0
0.22,0.113,0.33,0.63,0.03,95.77,1980000000000,50,50,0,0,0,1,20,4,0,360,0.012,1250,2.3219,2,0.4664,1,0.0082,0,0.57,0.66,6,0,1,0,0
0.22,0.113,0.83,0.17,0,47.1,621000000000,50,50,1,45,3,0,0,0,0,72,0.0143,1250,2.3219,5,0.362,0.2,0.0074,0,0.74,0.64,4,0,1,0,0
0.22,0.113,1,0,0,36.86,675000000000,50,50,0,0,0,1,0,4,0,180,0.0163,1250,2.3219,2,0.0784,1,0.0004,0,0,0,0,0,1,0,0
0.22,0.113,0.07,0.27,0.67,19.21,5990000000000,90,90,0,0,0,1,10,2,0,267.907,0.0456,4050,2.3219,19,0.0748,0.6,0.0134,0,0.69,0.41,4,0,1,0,0
0.22,0.113,1,0,0,217.3,1650000000000,50,50,1,15,5,0,0,0,0,360,0.0114,1250,2.3219,1,0.4896,0,0,1,0.43,0.34,4,0,1,0,0
0.22,0.113,0.83,0.17,0,32.76,596000000000,50,50,1,15,5,0,0,0,0,90,0.0128,1250,2.3219,4,0.3808,1,0.0053,0,0.73,0.63,4,0,1,0,0
2,0.267,0.63,0.37,0,249.3,2130000000000,70,70,1,70,5,0,0,0,0,180,0.0284,2450,2.3219,5,0.1992,0.2,0.0107,0,0.7,0.35,3,0,1,0,0
