robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,1,0,0,58.83,1060000000000,50,50,1,30,5,0,0,0,0,180,0.0133,1250,2.3219,2,0.3652,0,0,1,0,0,0,1,0,0,0
0.22,0.113,0.77,0.23,0,57.2,1140000000000,50,50,1,45,5,0,0,0,0,180,0.0158,1250,2.3219,2,0.2308,0,0,1,0.56,0.35,6,1,0,0,0
0.22,0.113,0.47,0.37,0.17,60.51,3170000000000,50,50,1,15,4,0,0,0,0,360,0.0112,1250,2.3219,1,0.4784,0,0,1,0.51,0.54,2,1,0,0,0
0.22,0.113,0.63,0.37,0,58.55,901000000000,50,50,1,45,3,0,0,0,0,180,0.0134,1250,2.3219,3,0.384,1,0.0049,0,0.65,0.58,6,1,0,0,0
0.22,0.113,0.37,0.57,0.07,102.55,2870000000000,90,90,1,45,5,0,0,0,0,192,0.0345,4050,2.3219,10,0.3925,0.6,0.0065,0,0.52,0.65,12,1,0,0,0
2,0.267,0.27,0.73,0,52.23,3761280000000,70,70,1,30,3,0,0,0,0,202.5,0.0213,2450,2.3219,8,0.4873,0.5,0.0089,0,0.59,0.38,6,1,0,0,0
0.22,0.113,0.17,0.83,0,153.46,2870000000000,90,90,1,45,5,0,0,0,0,180,0.0339,4050,2.3219,3,0.4138,0.7,0.0029,0,0.66,0.54,12,1,0,0,0
0.22,0.113,0.28,0.72,0,71.57,2070000000000,90,90,1,15,3,0,0,0,0,180,0.0151,4050,2.3219,2,0.7942,0,0,1,0.61,0.42,4,1,0,0,0
2,0.267,0.1,0.9,0,101.27,4434240000000,90,90,0,0,0,1,20,6,0,265.2632,0.0358,4050,2.3219,10,0.3828,0.6,0.0119,0,0.43,0.61,8,1,0,0,0
0.22,0.113,0.8,0.2,0,67.46,1540000000000,50,50,1,30,4,0,0,0,0,180,0.0143,1250,2.3219,3,0.3072,1,0.0097,0,0,0,0,1,0,0,0
